GEOID20,district
34021010019,1
34037100003,2
34035025013,3
34027100001,4
34013070C29,5
34017060303,6
34031005001,7
34001045001,8
34029090032,9
34005065017,10
34005100009,11
34005192006,12
34037100002,2
34037050001,2
34037035003,2
34037035001,2
34017060311,6
34037050002,2
34037075001,2
34037100001,2
34037050003,2
34037025001,2
34017060302,6
34017060304,6
34017060305,6
34005100004,11
34005100018,11
34005100001,11
34005100011,11
34017015001,6
34037075002,2
34041030001,2
34017015006,6
34017060310,6
34017060307,6
34017015002,6
34017060301,6
34017060309,6
34017060306,6
34005100010,11
34005100002,11
34005100012,11
34005100003,11
34005100007,11
34005100005,11
34007135006,11
34005100013,11
34005100014,11
34005100015,11
34017060107,6
34017015003,6
34017060109,6
34017060108,6
34017040102,6
34007043041,11
34007135023,11
34007135003,11
34007135017,11
34007135009,11
34005100017,11
34005100019,11
34007043004,11
34005100008,11
34005100006,11
34005040005,11
34007043009,11
34005115001,11
34007043023,11
34005115004,11
34037035004,2
34037035002,2
34037025002,2
34037115001,2
34037015001,2
34041045001,2
34037085001,2
34037025003,2
34041020001,2
34037025004,2
34037075006,2
34037075005,2
34041020005,2
34037075004,2
34037075003,2
34037050004,2
34037065003,2
34017060209,6
34017015004,6
34017060308,6
34017060207,6
34007043042,11
34005115005,11
34005100016,11
34007043015,11
34007043024,11
34007043018,11
34005125006,11
34007135014,11
34007135018,11
34007135013,11
34007120002,11
34007043003,11
34005140008,11
34007043008,11
34005140004,11
34007043048,11
34005040007,11
34005040018,11
34007043006,11
34005040008,11
34005040020,11
34007135012,11
34005040003,11
34007135002,11
34005040019,11
34007135019,11
34007040407,11
34007040408,11
34007135015,11
34007040409,11
34007043032,11
34007043012,11
34007040405,11
34007040401,11
34005115003,11
34007040402,11
34007040406,11
34005115002,11
34007135005,11
34007120001,11
34007120003,11
34007135010,11
34005115007,11
34017060204,6
34003065004,6
34017040101,6
34017060106,6
34017040105,6
34017040103,6
34017060104,6
34017060208,6
34017040204,6
34017040104,6
34005192010,12
34005192003,12
34005192005,12
34037040003,2
34041055002,2
34005115008,11
34005125008,11
34007135008,11
34007135021,11
34007043017,11
34005125007,11
34005125009,11
34007135022,11
34005125003,11
34007055004,11
34007080007,11
34005140003,11
34007080002,11
34005065029,10
34005140007,11
34005140002,11
34005065027,10
34007135007,11
34005065018,10
34005040006,11
34007040302,11
34007085009,11
34007135001,11
34007135011,11
34005140009,11
34007135024,11
34007040309,11
34007040403,11
34005192002,12
34005192014,12
34007040301,11
34005192015,12
34005192004,12
34007135004,11
34005192009,12
34005192030,12
34005192008,12
34007040410,11
34005192007,12
34005192001,12
34007040404,11
34005192012,12
34007135020,11
34005192016,12
34007043001,11
34005192019,12
34005192020,12
34007040303,11
34005192017,12
34005192011,12
